,run_id,name,distance,moving_time,elapsed_time,type,start_date,start_date_local,location_country,average_heartrate,average_speed
93,9223370428859743007,run from keep,11626.014665246525,01:22:20,01:22:22,Run,2020-12-14 23:54:50,2020-12-15 07:54:50,"{'latitude': 30.260819227430556, 'longitude': 120.19093831380208, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': None, 'districtCode': None}",104.0,7''4
92,9223370428307976807,run from keep,1437.95166015625,00:11:07,00:11:08,Run,2020-12-21 10:22:11,2020-12-21 18:22:11,"{'latitude': 30.273120659722224, 'longitude': 120.19082736545138, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': None, 'districtCode': None}",,7''43
91,9223370428303738507,run from keep,8129.77490234375,01:10:40,01:10:38,Run,2020-12-21 10:33:19,2020-12-21 18:33:19,"{'latitude': 30.318134307861328, 'longitude': 120.23739624023438, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': None, 'districtCode': None}",171.0,8''41
90,9223370344758749807,run from keep,415.5107116699219,00:04:23,00:04:23,Run,2023-08-15 10:36:03,2023-08-15 18:36:03,"{'latitude': 30.291805240495393, 'longitude': 120.11623295788847, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '西湖区', 'districtCode': '330106'}",102.0,10''32
89,9223370344019253807,run from keep,1641.8037109375,00:14:16,00:14:16,Run,2023-08-23 23:51:06,2023-08-24 07:51:06,"{'latitude': 29.559753695057644, 'longitude': 118.98391706396761, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '淳安县', 'districtCode': '330127'}",146.0,8''41
88,9223370343199243807,run from keep,5318.97225378532,00:36:51,00:36:51,Run,2023-09-02 11:15:21,2023-09-02 19:15:21,"{'latitude': 30.310555142736032, 'longitude': 120.23259714945995, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",162.0,6''55
87,9223370343198430307,run from keep,1078.6188610277259,00:07:59,00:08:06,Run,2023-09-02 11:57:38,2023-09-02 19:57:38,"{'latitude': 30.31782339877803, 'longitude': 120.23920763198036, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",163.0,7''24
86,9223370343109566807,run from keep,5138.7861328125,00:56:46,00:56:46,Run,2023-09-03 11:50:03,2023-09-03 19:50:03,"{'latitude': 30.31792293149066, 'longitude': 120.23940301691628, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",124.0,11''2
85,9223370342506661807,run from keep,5189.85693359375,00:55:46,00:55:47,Run,2023-09-10 11:19:27,2023-09-10 19:19:27,"{'latitude': 30.31804753724857, 'longitude': 120.23936374019786, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",118.0,10''44
84,9223370342329844807,run from keep,4977.26123046875,00:35:28,00:35:28,Run,2023-09-12 12:46:43,2023-09-12 20:46:43,"{'latitude': 30.311437, 'longitude': 120.236723, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': None, 'districtCode': None}",,7''7
